Year,outside,transient_killers,toothed_whales,gray_whales,baleen_whales,pinnipeds,walrus_bd_seals,nf_seal_juv,nf_seal_adu,ice_seals,oth_birds,murres_puffins,kittiwakes,auklets,fulmars,albatross,sharks,pollock_juv,pollock_adu,pcod_juv,pcod_adu,herring,arrowtooth_juv,arrowtooth_adu,kamchatka,gr_turbot_juv,gr_turbot_adu,halibut_juv,halibut_adu,yf_sole,fh_sole,nr_sole,ak_plaice,oth_flatfish,skates,sablefish,eelpouts,deep_demersals,pac_ocean_perch,oth_rockfish,north_rockfish,shortraker_rock,rougheye_rock,atka,shallow_demersals,lg_sculpins,octopus,squids,salmon_returning,salmon_smolts,mycto_bathy,capelin,sandlance,oth_forage,bairdi,king_crabs,opilio,pandalid,ben_zooplankton,snails_sea_stars,herb_echinoderms,misc_crabs,structural_epifauna,infauna,jellyfish,pel_zooplankton,euphausiids,copepods,pelagic_microbes,benthic_microbes,lg_phytoplankton,sm_phytoplankton,discards_offal,pelagic_detritus,benthic_detritus
2006,0,0,0,0,0,0,0,0,18.24,0,0,0,0,0,0,0,689,0,1488031,0,168814,22494.55281,0,11966,0,0,1453,0,4769,99156,17942,35878,17318,3123,19283,1079,58,2068,1041,149,246,47,7,3176,676,4907,351,1404,0,0,10,3,0,101,2178,7378.824,18690,2,4,2836.3826,40.14613,74.71404,866,6,2907,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,14.46,0,0,0,0,0,0,0,332,0,1354502,0,140129,16769.51212,0,11082,0,0,1481,0,5221,120962,18929,36364,19522,5699,17612,1182,169,1632,870,217,70,114,11,3005,833,6505,181,1175,0,0,6,1,0,182,2415,9728.159,31310,2,3,2715.03075,60.07711,123.40135,286,4,2632,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,15.03,0,0,0,0,0,0,0,194,0,990587,0,139802,20226.98818,0,18897,0,0,2089,0,5056,148893,24521,50934,17376,3578,20276,1141,79,2820,513,214,22,41,22,392,401,6682,212,1493,0,0,2,0,0,15,1757,9536.344,28810,2,2,2696.52121,40.82279,74.18191,558,13,4557,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,13.65,0,0,0,0,0,0,0,151,0,810857,0,147174,20114.50314,0,19212,0,0,2252,0,4415,107512,19535,48145,13944,2132,19390,916,46,2902,623,193,48,69,13,244,357,5915,72,269,0,0,0,0,0,5,1381,7686.037126,23490,1,2,1053.27172,20.71597,37.3858,570,11,8651,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,13.05,0,0,0,0,0,0,0,60,0,810390,0,142868,26023.38503,0,14782,0,0,2273,0,4517,118624,20097,52644,16165,2159,16368,755,33,2797,3547,269,299,161,30,151,96,4227,177,306,0,0,0,1,0,4,609,7559.968591,25380,2,2,1289.89808,14.37356,48.72102,587,6,3216,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,13.29,0,0,0,0,0,0,0,107,0,1199216,0,209222,22778.66191,0,16864,4478,0,3136,0,3894,151166,13546,60353,23656,3119,22549,705,72.18803136,4986.767705,5602,328,197,106,36,1217,0.864888169,4872,576,237,0,0,0.060095638,4.132598337,0.511830949,5.20101956,825.3,4561.595305,42310,2.9141272,1,2127.522986,26.16215167,46.50901507,590.0996052,13.23897184,8967.698055,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,13.41,0,0,0,0,0,0,0,96,0,1205276,0,232674,19456.57428,0,18978,2510,0,3058,0,3984,147186,11355,75777,16612,3501,23743,743,57.991362,3498.354361,5591,209,91,117,17,966,31.77090726,4991,126,559,0,0,0.021799279,2.386880969,0.210723156,6.611946491,620.7,4438.164764,32620,1.583651039,1,2378.278461,19.53671849,46.34512904,593.6526065,12.40100554,4050.806213,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,11.43,0,0,0,0,0,0,0,114,0,1270823,0,236700,28429.6312,0,14056,2110,0,1449,0,4073,164944,17344,59590,23523,1500,25970,634,143.3230472,1691.482055,5051,192,137,105,26,147,1.960707908,5221,185,157,0,0,0.013983592,0.233528626,0.044429619,2.087439393,2234.7,4245.894,27940,3.133062075,1,1924.494664,9.507107869,68.55491589,842.0344914,16.42283487,6230.699912,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,12.72,0,0,0,0,0,0,0,138,0,1297846,0,238735,24866.46085,0,14928,3268,0,1479,0,3653,156772,16505,51569,19447,4344,26364,315,183.2862172,1001.744938,7437,324,147,96,24,136,42.87119021,4490,410,1568,0,0,0.01000606,1.301802669,0.200947422,12.3157065,8967,4961.600441,34640,2.21440649,1,3185.021145,31.03376293,47.51681481,803.4726435,9.160805617,14279.80504,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,12.96,0,0,0,0,0,0,0,107,0,1322312,0,232832,22729.593,0,10330,3386,0,2090,0,2781,126937,11293,45347,14614,2385,26921,210,157.7451786,1476.824379,7915,185,199,76,31,267,4.215203881,4055,423,2281,0,0,0.1473932,6.83663105,0.738817002,19.77641926,11481.5,5114.375735,21580,1.56551443,1,3505.727799,35.56315799,41.53339774,843.477385,11.51397998,5857.714431,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,0,0,132,0,1353711,0,231511,15179.29617,0,9777,3165,0,2117,0,2847,135350,10358,44860,13385,2801,27995,532,166.1425274,1916.156436,8172,282,208,55,41,360,1.873484148,4381,585,1328,0,0,0.119221554,0.435100587,0.380960754,11.02983859,1058.6,4147.286,11060,1.213733671,1,3418.918048,20.82091876,32.39743244,586.0993331,9.007925731,2431.449688,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,9.18,0,0,0,0,0,0,0,142,0,1356445,0,196761,18627.51885,0,5680,3166,0,2691,0,2641,125620,8859,34877,15549,4089,30472,1150,120.0935374,1914.734738,8987,261,218,95,36,255,1.88302263,4152,187,2057,0,0,0.037498847,0.16515,0.472598634,5.82987229,1704,3374.669,10590,1.344710823,1,2921.423995,17.21430841,34.95038986,631.8513038,9.398551871,6282.910018,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,9.39,0,0,0,0,0,0,0,96,0,1379320,0,186702,16286.68764,0,6182,1373,0,1672,0,2654.41,131539,11045,28059,23342,5945,29475,1598,93.54354765,1058.894689,9635,212,188,170,15,1146,3.516370267,4397,132,1701,0,0,0.025865266,0.036060018,0.491315289,2.179867419,1669.6,2419.468,15620,1.55979389,0,2318.53624,16.0839602,15.78288106,664.7210616,8.81904948,8666.546544,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,10.65,0,0,0,0,0,0,0,148,0,1409235,0,164092,22994.4116,0,9410,2940,0,2678,0,3105.48,128046,15831,25403,16163,3716,18867,3157,99.01152531,1391.188659,14022,697,478,298,55,1128,6.451190851,4816,175,4913.378604,0,0,0.013444312,0.375717962,1.498310955,22.35797968,429.6,1954.829,20760,2.442816176,0,2852.875835,31.96923783,21.37311792,416.5680735,6.754279169,4814.041984,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,1367232,0,155584,0,0,8406,2929,0,1648,0,2441.98,133788,9368,25810,20075,4098,17613,5301,37.2625561,1331.743121,11944,352,307,186,53,1064,4.209687183,4355,457,5215.262842,0,0,0.061272911,0.08513,0.314989458,10.83082861,1086.9,1450.382,26300,3.862660296,0,2516.570354,47.37748548,26.15484938,314.6577184,7.104247073,3503.101709,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,1374009,0,118084,0,0,6506,2299,0,1129,0,0,105163,9903,13807,15660,2477,17659,3982,45.95616405,1415.873822,8901,333,232,402,124,974,62.06777283,4662.958941,119,3271.642664,0,0,0.013568582,0,0.182446727,1.946899231,741.1,120.895,3600,4.216011109,0,2436.033991,30.44320337,22.14973814,380.8645949,10.45264034,8585.936578,0,0,0,0,0,0,0,0,0,0
