tstep,year_vector,month_vector,arrowtooth_juv,arrowtooth_adu,atka,fh_sole,gr_turbot_juv,gr_turbot_adu,kamchatka,north_rockfish,octopus,oth_flatfish,oth_rockfish,pcod_juv,pcod_adu,ak_plaice,pac_ocean_perch,pollock_juv,pollock_adu,nr_sole,rougheye_rock,sablefish,sharks,shortraker_rock,skates,yf_sole,herring,halibut_juv,halibut_adu,lg_sculpins,squids,capelin,sandlance
39,1973,3,0.81638754,0.7680346,0.818097614,0.818097614,0.778698423,0.8124611,0.791366987,0.882991729,0.916363014,0.900329002,0.771065424,0.739249911,0.756968288,0.86336266,0.781301485,0.734821582,0.777641729,0.768670358,0.794141517,0.805373846,0.856674963,0.87106786,0.87106786,0.788275969,0.765852738,0.667922267,0.638251624,0.872763435,0.772165589,0.821760168,0.761064889
40,1973,4,0.839094357,0.789396539,0.831861073,0.831861073,0.792297311,0.826649606,0.805055575,0.894322709,0.932264634,0.919128061,0.787725752,0.758460599,0.776639418,0.875912246,0.794445896,0.751225076,0.795001101,0.787297498,0.807501945,0.825121229,0.871536064,0.885722477,0.885722477,0.801537717,0.779099996,0.685226728,0.65478738,0.883900591,0.786866006,0.835585244,0.774535168
41,1973,5,0.899513738,0.846237405,0.867857377,0.867857377,0.827908582,0.863804905,0.84088992,0.923709032,0.973896909,0.968683321,0.831703506,0.809067768,0.828459543,0.908579848,0.82882317,0.793987054,0.840254941,0.836234897,0.842444181,0.877320836,0.91044371,0.924049473,0.924049473,0.836221868,0.813779016,0.730879234,0.698411898,0.912779577,0.825480642,0.871742701,0.809826091
42,1973,6,0.981776346,0.92362777,0.915531909,0.915531909,0.87517257,0.913118158,0.888424104,0.96208569,1.029132093,1.035171741,0.890841171,0.876758797,0.897772993,0.951508901,0.874353413,0.85014272,0.899682957,0.901408054,0.888722674,0.947624434,0.962063083,0.974810839,0.974810839,0.882158548,0.859780663,0.79210115,0.756914195,0.95048335,0.876991322,0.919630668,0.856700909
43,1973,7,1.068143074,1.004879176,0.964114194,0.964114194,0.923450946,0.963489778,0.936948733,1.000565904,1.085529753,1.103916467,0.952138503,0.946288901,0.968969598,0.994867714,0.920750579,0.906531083,0.959357231,0.968033544,0.935882339,1.020540147,1.014767756,1.026538733,1.026538733,0.92896989,0.906740823,0.855183161,0.817193958,0.988276635,0.92990769,0.968430451,0.90462316
44,1973,8,1.14730037,1.07934815,1.007467508,1.007467508,0.966629293,1.008540246,0.98032237,1.034373531,1.135950393,1.16609789,1.007711706,1.008599776,1.032773943,1.033233333,0.962153962,0.955884949,1.011587088,1.02748076,0.977966152,1.086609407,1.061885885,1.072699091,1.072699091,0.970742871,0.948716062,0.911890395,0.871382126,1.021470049,0.977486303,1.011977855,0.947517745
45,1973,9,1.195236751,1.124445358,1.033226228,1.033226228,0.992326736,1.035351874,1.006124997,1.054222903,1.165949525,1.203414905,1.041119429,1.045663958,1.070726482,1.055883351,0.986754115,0.984680242,1.042060364,1.062728047,1.002970588,1.126281785,1.089919697,1.100125639,1.100125639,0.995562623,0.973686794,0.945701156,0.903690935,1.04095384,1.005914234,1.037851895,0.973061681
46,1973,10,1.186651322,1.116368426,1.028638917,1.028638917,0.987748014,1.030574629,1.001528134,1.050700999,1.1606048,1.196748971,1.035148757,1.039063286,1.063967604,1.051857585,0.98237313,0.979583975,1.036667123,1.056457074,0.998517605,1.11919478,1.084925141,1.095241308,1.095241308,0.99114253,0.969238136,0.939675499,0.897932952,1.037497081,1.00084293,1.033244046,0.968509475
47,1973,11,1.171052298,1.1016933,1.020275308,1.020275308,0.979402656,1.021867433,0.993149041,1.044265303,1.150862777,1.184618168,1.024286602,1.027028401,1.051644266,1.044508949,0.974385697,0.97025628,1.026795877,1.045016493,0.990398905,1.10629788,1.075821358,1.086336171,1.086336171,0.983083795,0.961129192,0.928693915,0.887439196,1.03118011,0.991606534,1.024842994,0.960213377
48,1973,12,1.090437544,1.02585319,0.976432455,0.976432455,0.935710304,0.976280676,0.949265916,1.010222798,1.099847208,1.121504574,0.967845339,0.963976851,0.987081494,1.0058,0.932514794,0.920657644,0.974306987,0.984933202,0.947839889,1.039220205,1.028147515,1.039654578,1.039654578,0.940839121,0.91866089,0.87126344,0.832559914,0.997759136,0.943392345,0.980803861,0.91679864
49,1974,1,0.968602765,0.911234433,0.907993834,0.907993834,0.867691954,0.905313198,0.88090266,0.95605853,1.020391348,1.024594515,0.881423431,0.866013932,0.886770595,0.944746403,0.867154383,0.841310174,0.890335714,0.891083768,0.881405334,0.936423351,0.953894596,0.966784688,0.966784688,0.874895254,0.852501716,0.782370735,0.747616028,0.944562659,0.868819037,0.912058846,0.849279192
50,1974,2,0.834923451,0.785472667,0.829342932,0.829342932,0.789808557,0.824052945,0.802550593,0.892253566,0.929354599,0.91568243,0.784671168,0.754939666,0.773034096,0.873618648,0.792041015,0.748225641,0.79182688,0.783885639,0.805057542,0.821499351,0.868816453,0.883041291,0.883041291,0.799111368,0.776675776,0.682054141,0.651755727,0.881866916,0.78417377,0.83305583,0.772069689
51,1974,3,0.784361155,0.737905071,0.798451394,0.798451394,0.759303969,0.792225744,0.771840216,0.866725338,0.89368106,0.873638894,0.747433983,0.711979079,0.729043828,0.845391846,0.762538907,0.711375788,0.752829682,0.742178259,0.775070591,0.777396422,0.835477039,0.850149585,0.850149585,0.769345901,0.746955525,0.643380636,0.614800189,0.856773563,0.751244194,0.802025993,0.741859958
52,1974,4,0.814351372,0.766119029,0.816856816,0.816856816,0.777472938,0.81118248,0.790133294,0.881967615,0.914929919,0.898638311,0.769567707,0.737522186,0.755199152,0.862229677,0.780116496,0.73334175,0.776075662,0.766993714,0.792937053,0.803599497,0.855335638,0.869746724,0.869746724,0.787080402,0.764658821,0.666366648,0.636765109,0.871756791,0.770842083,0.820513815,0.759851166
53,1974,5,0.880766945,0.828600946,0.856782374,0.856782374,0.816945099,0.852366069,0.829859567,0.914705679,0.961081163,0.953376984,0.818110718,0.793445311,0.812462646,0.898552532,0.818246295,0.780856514,0.826359247,0.821147931,0.831693483,0.861177065,0.898466757,0.912257384,0.912257384,0.825550576,0.803104289,0.71677574,0.684934913,0.903932382,0.813574352,0.860618116,0.798958719
54,1974,6,0.96148447,0.904537739,0.90390583,0.90390583,0.863636276,0.901081674,0.876824544,0.952783536,1.015652247,1.018868416,0.876326576,0.860192782,0.880809924,0.941075059,0.863250248,0.83651209,0.885258032,0.885487231,0.877437038,0.930361932,0.949465754,0.962431993,0.962431993,0.870956267,0.848555081,0.777101154,0.742580534,0.941345393,0.864391418,0.90795254,0.845255868
55,1974,7,1.033569126,0.972352971,0.944834969,0.944834969,0.904278615,0.943486177,0.917682164,0.985370884,1.063135836,1.076517157,0.927689303,0.918646392,0.940664552,0.977707803,0.90233849,0.884274728,0.935803935,0.941583247,0.917167662,0.991457322,0.993840349,1.006011216,1.006011216,0.910393441,0.888095422,0.830079801,0.793205747,0.973354374,0.908857609,0.949064916,0.885587305
56,1974,8,1.106423125,1.040891979,0.985211859,0.985211859,0.944452183,0.985401584,0.958047874,1.017080754,1.110055778,1.134078623,0.979080335,0.976592973,1,1.013576467,0.94089932,0.93067771,0.984910951,0.996975086,0.956362208,1.052579233,1.037687452,1.049002431,1.049002431,0.949298494,0.927159712,0.882741077,0.843527688,1.004492738,0.953019628,0.989622569,0.925482316
57,1974,9,1.162620165,1.093760585,1.015738611,1.015738611,0.974877259,1.017145826,0.98860499,1.040766524,1.145579739,1.178050215,1.018407369,1.020500381,1.044959782,1.040518033,0.97005305,0.965177589,1.021421236,1.038807141,0.985995055,1.099315379,1.070884421,1.081505732,1.081505732,0.978712472,0.956731644,0.922739871,0.881749644,1.02774571,0.986601617,1.020285987,0.955715196
58,1974,10,1.145916548,1.078046288,1.006718546,1.006718546,0.965882588,1.007761165,0.979572485,1.033793732,1.135078596,1.165016995,1.00674467,1.007522253,1.031670594,1.03257314,0.961438686,0.955041399,1.010694382,1.0264548,0.977239121,1.085460418,1.061071197,1.071901635,1.071901635,0.97002121,0.947990354,0.910908348,0.870443704,1.020900871,0.976661498,1.011225539,0.946775671
59,1974,11,1.121259038,1.054849191,0.993321162,0.993321162,0.952530117,0.99382976,0.966161992,1.023397028,1.11948835,1.145721558,0.989487725,0.988251842,1.011938309,1.020748207,0.948643886,0.939895527,0.994665916,1.008094481,0.964234049,1.064951662,1.046502186,1.057636796,1.057636796,0.957112194,0.935012225,0.893353941,0.853669104,1.010694105,0.961924331,0.997768177,0.933507652
