tstep,year_vector,month_vector,arrowtooth_juv,arrowtooth_adu,atka,fh_sole,gr_turbot_juv,gr_turbot_adu,kamchatka,north_rockfish,octopus,oth_flatfish,oth_rockfish,pcod_juv,pcod_adu,ak_plaice,pac_ocean_perch,pollock_juv,pollock_adu,nr_sole,rougheye_rock,sablefish,sharks,shortraker_rock,skates,yf_sole,herring,halibut_juv,halibut_adu,lg_sculpins,squids,capelin,sandlance
35,1972,11,0.960325406,0.972812183,0.985524724,0.985524724,0.975823435,0.985734652,0.978780408,1.005014614,1.014980588,0.990476765,0.985744356,0.986076058,0.983504398,0.998324877,0.972603158,0.980508205,0.985869125,0.984973257,0.977167669,0.978745108,0.998331273,1.003343213,1.003343213,0.97509019,0.970767352,0.99625892,0.999931129,0.99640543,0.981534931,0.986785048,0.972190179
36,1972,12,0.972037406,0.98467647,0.975443756,0.975443756,0.967187278,0.97701078,0.969767504,0.986074703,1.005755892,0.989004131,0.985823479,0.991917468,0.989330574,0.983187037,0.962654365,0.977754189,0.983100052,0.987443547,0.967172186,0.983650571,0.989245957,0.993079979,0.993079979,0.965115957,0.961828235,1.002502869,1.006198093,0.97747302,0.976177897,0.976691188,0.964079811
37,1973,1,1.006290505,1.01937495,0.947910528,0.947910528,0.943495436,0.953078306,0.94507166,0.935515354,0.980469725,0.984658667,0.985746829,1.012091751,1.009452243,0.942401128,0.935482135,0.975015666,0.980346556,0.997722571,0.939872434,0.998565672,0.964342834,0.965048945,0.965048945,0.937874245,0.937334571,1.023305331,1.027077234,0.926953209,0.96127004,0.94912275,0.941791157
38,1973,2,1.022309369,1.035602102,0.935852735,0.935852735,0.933069789,0.942546767,0.934218376,0.913901969,0.969352208,0.982587781,0.985555525,1.022802181,1.020134741,0.92479713,0.923582435,0.975778764,0.981113827,1.003745478,0.927916888,1.005744287,0.953394204,0.952773144,0.952773144,0.925944117,0.92657014,1.034048396,1.037859898,0.905365271,0.954605178,0.937049536,0.931964047
39,1973,3,1.029525431,1.042911992,0.930564807,0.930564807,0.928487691,0.937918131,0.929451145,0.90452364,0.964467961,0.981644228,0.985437526,1.027848353,1.025167752,0.917126537,0.91836384,0.976453399,0.981792151,1.006661801,0.922673801,1.009007654,0.948584248,0.947389609,0.947389609,0.920712177,0.921841937,1.039058221,1.042888189,0.895999576,0.95165472,0.931754846,0.927641233
40,1973,4,1.023413326,1.036720414,0.935038234,0.935038234,0.932364406,0.94183422,0.93348438,0.912453454,0.968600233,0.982443884,0.985538746,1.023565695,1.020896263,0.923613654,0.922778614,0.975869558,0.981205117,1.004183943,0.927109294,1.006242471,0.952653663,0.951943917,0.951943917,0.92513824,0.925842153,1.034808368,1.038622671,0.903918645,0.954151829,0.936233993,0.93129873
41,1973,5,1.008164989,1.021273808,0.946475455,0.946475455,0.94225625,0.951826533,0.943781183,0.932926291,0.979147987,0.984417897,0.98572951,1.013307811,1.010665131,0.940297728,0.934065877,0.97504794,0.980379007,0.998392709,0.93844953,0.999400368,0.963041159,0.963587925,0.963587925,0.936454366,0.936054659,1.024533463,1.028309892,0.924366926,0.960481317,0.947685841,0.940623731
42,1973,6,0.989482105,1.002347996,0.961092806,0.961092806,0.954858042,0.964556319,0.95691029,0.959510792,0.992593204,0.986801978,0.985841524,1.00167597,0.999063625,0.961826477,0.948491575,0.975503084,0.98083664,0.992177446,0.952942928,0.991157781,0.976282478,0.97846956,0.97846956,0.950916951,0.94907628,1.012679977,1.016412715,0.95092638,0.968459838,0.962321885,0.952488114
43,1973,7,0.972037406,0.98467647,0.975443756,0.975443756,0.967187278,0.97701078,0.969767504,0.986074703,1.005755892,0.989004131,0.985823479,0.991917468,0.989330574,0.983187037,0.962654365,0.977754189,0.983100052,0.987443547,0.967172186,0.983650571,0.989245957,0.993079979,0.993079979,0.965115957,0.961828235,1.002502869,1.006198093,0.97747302,0.976177897,0.976691188,0.964079811
44,1973,8,0.957691151,0.970143676,0.987847404,0.987847404,0.977810407,0.987741806,0.980854851,1.009411666,1.01710351,0.990808011,0.985719125,0.984851202,0.982282736,1.001828251,0.974895384,0.981289074,0.986654264,0.984507857,0.979470653,0.977659634,1.000422145,1.005707888,1.005707888,0.977388278,0.972824813,0.99492954,0.998596849,1.000801326,0.982761943,0.989110698,0.974055135
